Group_CompFuncLoc,SerialPrefix_CompFuncLoc,Validation Code,Group (L),Serial Prefix,Functional_Loc,Task Desc,Component_Code,Component_Code_Description,Modifier_Code,Reason,Model,Column1
90019583TRNSYS-TRANS,E9ZTRNSYS-TRANS,90019583E9ZTRNSYS-TRANS,90019583,E9Z,TRNSYS-TRANS,Repl Transmission,3030,3030 - TRANSMISSION,00,,,E9Z3030 - TRANSMISSION00
90019586TRNSYS-TRPMP,E9ZTRNSYS-TRPMP,90019586E9ZTRNSYS-TRPMP,90019586,E9Z,TRNSYS-TRPMP,Repl Pump Transmission,3066,3066 - TRANSMISSION OIL PUMP,00,,,E9Z3066 - TRANSMISSION OIL PUMP00
90019582TRNSYS-TRQUE,E9ZTRNSYS-TRQUE,90019582E9ZTRNSYS-TRQUE,90019582,E9Z,TRNSYS-TRQUE,Repl Torque Converter,3101,3101 - TORQUE CONVERTER,00,,,E9Z3101 - TORQUE CONVERTER00
90030388FDRSYS-DIFFL,E9ZFDRSYS-DIFFL,90030388E9ZFDRSYS-DIFFL,90030388,E9Z,FDRSYS-DIFFL,Repl Rear Axle Assembly,3258,3258 - DIFFERENTIAL,00,,,E9Z3258 - DIFFERENTIAL00
FDRSYS-FDRVE-FDRRH,E9ZFDRSYS-FDRVE-FDRRH,E9ZFDRSYS-FDRVE-FDRRH,,E9Z,FDRSYS-FDRVE-FDRRH,Final Drive RH,4050,4050 - FINAL DRIVE,RI,,,E9Z4050 - FINAL DRIVERI
FDRSYS-FDRVE-FDRLH,E9ZFDRSYS-FDRVE-FDRLH,E9ZFDRSYS-FDRVE-FDRLH,,E9Z,FDRSYS-FDRVE-FDRLH,Final Drive LH,4050,4050 - FINAL DRIVE,LT,,,E9Z4050 - FINAL DRIVELT
90019593BRKSYS-SRVBK-SVBLF,E9ZBRKSYS-SRVBK-SVBLF,90019593E9ZBRKSYS-SRVBK-SVBLF,90019593,E9Z,BRKSYS-SRVBK-SVBLF,Repl Service Brake LHF,4251,4251 - SERVICE BRAKE,LF,,,E9Z4251 - SERVICE BRAKELF
90019593BRKSYS-SRVBK-SVBRF,E9ZBRKSYS-SRVBK-SVBRF,90019593E9ZBRKSYS-SRVBK-SVBRF,90019593,E9Z,BRKSYS-SRVBK-SVBRF,Repl Service Brake RHF,4251,4251 - SERVICE BRAKE,RF,,,E9Z4251 - SERVICE BRAKERF
90019611BRKSYS-SRVBK-SVBLR,E9ZBRKSYS-SRVBK-SVBLR,90019611E9ZBRKSYS-SRVBK-SVBLR,90019611,E9Z,BRKSYS-SRVBK-SVBLR,Repl Service Brake LHR,4251,4251 - SERVICE BRAKE,LR,,,E9Z4251 - SERVICE BRAKELR
90019611BRKSYS-SRVBK-SVBRR,E9ZBRKSYS-SRVBK-SVBRR,90019611E9ZBRKSYS-SRVBK-SVBRR,90019611,E9Z,BRKSYS-SRVBK-SVBRR,Repl Service Brake RHR,4251,4251 - SERVICE BRAKE,RR,,,E9Z4251 - SERVICE BRAKERR
90021177HYDSYS-HYDPP-BRPMP,E9ZHYDSYS-HYDPP-BRPMP,90021177E9ZHYDSYS-HYDPP-BRPMP,90021177,E9Z,HYDSYS-HYDPP-BRPMP,Repl Pump Brake,4268,4268 - BRAKE PUMP,00,,,E9Z4268 - BRAKE PUMP00
90019600HYDSYS-HYDPP-HYSTP,E9ZHYDSYS-HYDPP-HYSTP,90019600E9ZHYDSYS-HYDPP-HYSTP,90019600,E9Z,HYDSYS-HYDPP-HYSTP,Repl Hyd Pump Steering Main,4306,4306 - STEERING PUMP,00,,,E9Z4306 - STEERING PUMP00
90019637STRUCT-AXLES,E9ZSTRUCT-AXLES,90019637E9ZSTRUCT-AXLES,90019637,E9Z,STRUCT-AXLES,Repl Axle Assembly Front,4313,4313 - STEERING AXLE,00,,,E9Z4313 - STEERING AXLE00
90019598STRSYS-STEMG-SESPP,E9ZSTRSYS-STEMG-SESPP,90019598E9ZSTRSYS-STEMG-SESPP,90019598,E9Z,STRSYS-STEMG-SESPP,Repl Hyd Pump Secondary Steering,4324,4324 - SECONDARY STEERING PUMP,00,,,E9Z4324 - SECONDARY STEERING PUMP00
90019601HYDSYS-HYDPP-FANPP,E9ZHYDSYS-HYDPP-FANPP,90019601E9ZHYDSYS-HYDPP-FANPP,90019601,E9Z,HYDSYS-HYDPP-FANPP,Repl Hyd Pump Brake & Fan,5070,5070 - PISTON PUMP,00,,,E9Z5070 - PISTON PUMP00
90003114HYDSYS-HOCYL-HCYLR,2BWHYDSYS-HOCYL-HCYLR,900031142BWHYDSYS-HOCYL-HCYLR,90003114,2BW,HYDSYS-HOCYL-HCYLR,Repl Cyl Hoist RH,5102,5102 - LIFT/HOIST CYLINDER,RI,,,2BW5102 - LIFT/HOIST CYLINDERRI
90017160HYDSYS-HDCYL-HCYLR,DWCHYDSYS-HDCYL-HCYLR,90017160DWCHYDSYS-HDCYL-HCYLR,90017160,DWC,HYDSYS-HDCYL-HCYLR,Repl Cyl Lift RH High Lift,5102,5102 - LIFT/HOIST CYLINDER,RI,,,DWC5102 - LIFT/HOIST CYLINDERRI
90019599HYDSYS-HYDPP-HYIMP,E9ZHYDSYS-HYDPP-HYIMP,90019599E9ZHYDSYS-HYDPP-HYIMP,90019599,E9Z,HYDSYS-HYDPP-HYIMP,Repl Hyd Pump Implement,5084,5084 - IMPLEMENT PUMP,00,,,E9Z5084 - IMPLEMENT PUMP00
90021514HYDSYS-HDCYL-RICYL,E9ZHYDSYS-HDCYL-RICYL,90021514E9ZHYDSYS-HDCYL-RICYL,90021514,E9Z,HYDSYS-HDCYL-RICYL,Repl Cyl Ripper Lift,5102,5102 - LIFT/HOIST CYLINDER,LT,,,E9Z5102 - LIFT/HOIST CYLINDERLT
90021511HYDSYS-HDCYL-BTCYL,E9ZHYDSYS-HDCYL-BTCYL,90021511E9ZHYDSYS-HDCYL-BTCYL,90021511,E9Z,HYDSYS-HDCYL-BTCYL,Repl Cyl Blade Tilt LH,5104,5104 - TILT CYLINDER,LT,,,E9Z5104 - TILT CYLINDERLT
90021511HYDSYS-HDCYL-BTCYR,E9ZHYDSYS-HDCYL-BTCYR,90021511E9ZHYDSYS-HDCYL-BTCYR,90021511,E9Z,HYDSYS-HDCYL-BTCYR,Repl Cyl Blade Tilt RH,5104,5104 - TILT CYLINDER,RI,,,E9Z5104 - TILT CYLINDERRI
90021509HYDSYS-HDCYL-BLCYL,E9ZHYDSYS-HDCYL-BLCYL,90021509E9ZHYDSYS-HDCYL-BLCYL,90021509,E9Z,HYDSYS-HDCYL-BLCYL,Repl Cyl Blade Lift LH,5113,5113 - BLADE LIFT CYLINDER,LT,,,E9Z5113 - BLADE LIFT CYLINDERLT
90021509HYDSYS-HDCYL-BLCYR,E9ZHYDSYS-HDCYL-BLCYR,90021509E9ZHYDSYS-HDCYL-BLCYR,90021509,E9Z,HYDSYS-HDCYL-BLCYR,Repl Cyl Blade Lift RH,5113,5113 - BLADE LIFT CYLINDER,RI,,,E9Z5113 - BLADE LIFT CYLINDERRI
90019609STRUCT-CIRCL-CDBXF,E9ZSTRUCT-CIRCL-CDBXF,90019609E9ZSTRUCT-CIRCL-CDBXF,90019609,E9Z,STRUCT-CIRCL-CDBXF,Repl Gearbox Circle Drive Front,5207,5207 - CIRCLE DRIVE,FR,,,E9Z5207 - CIRCLE DRIVEFR
90019609STRUCT-CIRCL-CDBXR,E9ZSTRUCT-CIRCL-CDBXR,90019609E9ZSTRUCT-CIRCL-CDBXR,90019609,E9Z,STRUCT-CIRCL-CDBXR,Repl Gearbox Circle Drive Rear,5207,5207 - CIRCLE DRIVE,RE,,,E9Z5207 - CIRCLE DRIVERE
90021515HYDSYS-HDCYL-WLCYL,E9ZHYDSYS-HDCYL-WLCYL,90021515E9ZHYDSYS-HDCYL-WLCYL,90021515,E9Z,HYDSYS-HDCYL-WLCYL,Repl Cyl Wheel Lean LH,5211,5211 - WHEEL LEAN CYLINDER,00,,,E9Z5211 - WHEEL LEAN CYLINDER00
90021515HYDSYS-HDCYL-WLCYR,E9ZHYDSYS-HDCYL-WLCYR,90021515E9ZHYDSYS-HDCYL-WLCYR,90021515,E9Z,HYDSYS-HDCYL-WLCYR,Repl Cyl Wheel Lean RH,5211,5211 - WHEEL LEAN CYLINDER,00,,,E9Z5211 - WHEEL LEAN CYLINDER00
90021510HYDSYS-HDCYL-CSCYL,E9ZHYDSYS-HDCYL-CSCYL,90021510E9ZHYDSYS-HDCYL-CSCYL,90021510,E9Z,HYDSYS-HDCYL-CSCYL,Repl Cyl Centre Shift,5223,5223 - CENTERSHIFT CYLINDER,00,,,E9Z5223 - CENTERSHIFT CYLINDER00
90021512HYDSYS-HDCYL-ARCYL,E9ZHYDSYS-HDCYL-ARCYL,90021512E9ZHYDSYS-HDCYL-ARCYL,90021512,E9Z,HYDSYS-HDCYL-ARCYL,Repl Cyl Articulation LH,5265,5265 - ARTICULATION CYLINDER,LT,,,E9Z5265 - ARTICULATION CYLINDERLT
90018857HYDSYS-HDCYL-RLCYL,RABHYDSYS-HDCYL-RLCYL,90018857RABHYDSYS-HDCYL-RLCYL,90018857,RAB,HYDSYS-HDCYL-RLCYL,Repl Cyl Ripper Lift LH,5352,5352 - RIPPER LIFT CYLINDER,LT,,,RAB5352 - RIPPER LIFT CYLINDERLT
90027533LHENGN,6P4LHENGN,900275336P4LHENGN,90027533,6P4,LHENGN,Repl Engine Cat C32 LH,1000,1000 - ENGINE,LT,,,6P41000 - ENGINELT
90027534RHENGN,6P4RHENGN,900275346P4RHENGN,90027534,6P4,RHENGN,Repl Engine Cat C32 RH,1000,1000 - ENGINE,RI,,,6P41000 - ENGINERI
90002459STRSYS-STEMG-SESPP,R9HSTRSYS-STEMG-SESPP,90002459R9HSTRSYS-STEMG-SESPP,90002459,R9H,STRSYS-STEMG-SESPP,Repl Hyd Pump Secondary Steering,4324,4324 - SECONDARY STEERING PUMP,00,,,R9H4324 - SECONDARY STEERING PUMP00
90004014STRUCT-SUSPN-SCYLR,DMCSTRUCT-SUSPN-SCYLR,90004014DMCSTRUCT-SUSPN-SCYLR,90004014,DMC,STRUCT-SUSPN-SCYLR,Repl Suspension Cylinder LHR,7213,7213 - REAR SUSPENSION CYLINDER,LR,,,DMC7213 - REAR SUSPENSION CYLINDERLR
90004013STRUCT-SUSPN-SCYLF,MSYSTRUCT-SUSPN-SCYLF,90004013MSYSTRUCT-SUSPN-SCYLF,90004013,MSY,STRUCT-SUSPN-SCYLF,Repl Cyl Suspension LHF,7201,7201 - SUSPENSION CYLINDER,LF,,,MSY7201 - SUSPENSION CYLINDERLF
90002385STRSYS-STRCY-STCYR,SSPSTRSYS-STRCY-STCYR,90002385SSPSTRSYS-STRCY-STCYR,90002385,SSP,STRSYS-STRCY-STCYR,Repl Cyl Steering RH,4303,4303 - STEERING CYLINDER,RI,,,SSP4303 - STEERING CYLINDERRI
90002383STRSYS-STPMP,SSPSTRSYS-STPMP,90002383SSPSTRSYS-STPMP,90002383,SSP,STRSYS-STPMP,Repl Hyd Pump Steering Main & Fan,5070,5070 - PISTON PUMP,00,,,SSP5070 - PISTON PUMP00
90002379BRKSYS-HYFPP,SSPBRKSYS-HYFPP,90002379SSPBRKSYS-HYFPP,90002379,SSP,BRKSYS-HYFPP,Repl Pump Brake Cool In Hyd Tank,5083,5083 - HYDRAULIC HOIST PUMP,00,,,SSP5083 - HYDRAULIC HOIST PUMP00
90002388HYDSYS-HOPMP,SSPHYDSYS-HOPMP,90002388SSPHYDSYS-HOPMP,90002388,SSP,HYDSYS-HOPMP,Repl Pump Hoist & Brake,5083,5083 - HYDRAULIC HOIST PUMP,00,,,SSP5083 - HYDRAULIC HOIST PUMP00
90002408STRUCT-SUSPN-SCYRF,RBTSTRUCT-SUSPN-SCYRF,90002408RBTSTRUCT-SUSPN-SCYRF,90002408,RBT,STRUCT-SUSPN-SCYRF,Repl Cyl Suspension RHF,7201,7201 - SUSPENSION CYLINDER,RF,,,RBT7201 - SUSPENSION CYLINDERRF
90026955BRKSYS-HYPPP,SSPBRKSYS-HYPPP,90026955SSPBRKSYS-HYPPP,90026955,SSP,BRKSYS-HYPPP,Repl Pump Brake Cool Pump Drive,5083,5083 - HYDRAULIC HOIST PUMP,00,,,SSP5083 - HYDRAULIC HOIST PUMP00
90031846LHENGN,6P4LHENGN,900318466P4LHENGN,90031846,6P4,LHENGN,Repl Engine Cat C32B LH,1000,1000 - ENGINE,LT,,,6P41000 - ENGINELT
90031847RHENGN,6P4RHENGN,900318476P4RHENGN,90031847,6P4,RHENGN,Repl Engine Cat C32B RH,1000,1000 - ENGINE,RI,,,6P41000 - ENGINERI
90023360RHENGN-INTEX-AFTER,6P4RHENGN-INTEX-AFTER,900233606P4RHENGN-INTEX-AFTER,90023360,6P4,RHENGN-INTEX-AFTER,Repl RH Aftercooler,1063,1063 - AFTERCOOLER,RI,,,6P41063 - AFTERCOOLERRI
90023361LHENGN-INTEX-AFTER,6P4LHENGN-INTEX-AFTER,900233616P4LHENGN-INTEX-AFTER,90023361,6P4,LHENGN-INTEX-AFTER,Repl LH Aftercooler,1063,1063 - AFTERCOOLER,LT,,,6P41063 - AFTERCOOLERLT
90027552LHENGN-COSYS-RADTR,6P4LHENGN-COSYS-RADTR,900275526P4LHENGN-COSYS-RADTR,90027552,6P4,LHENGN-COSYS-RADTR,Repl Radiator LH Engine Cooling,1353,1353 - RADIATOR,LT,,,6P41353 - RADIATORLT
90027553RHENGN-COSYS-RADTR,6P4RHENGN-COSYS-RADTR,900275536P4RHENGN-COSYS-RADTR,90027553,6P4,RHENGN-COSYS-RADTR,Repl Radiator RH Engine Cooling,1353,1353 - RADIATOR,RI,,,6P41353 - RADIATORRI
90027500HYDSYS-HDOCO-OCHYF,6P4HYDSYS-HDOCO-OCHYF,900275006P4HYDSYS-HDOCO-OCHYF,90027500,6P4,HYDSYS-HDOCO-OCHYF,Repl Hyd Oil Cooler Front,1374,1374 - HYDRAULIC OIL COOLER,FR,,,6P41374 - HYDRAULIC OIL COOLERFR
90027500HYDSYS-HDOCO-OCHYR,6P4HYDSYS-HDOCO-OCHYR,900275006P4HYDSYS-HDOCO-OCHYR,90027500,6P4,HYDSYS-HDOCO-OCHYR,Repl Hyd Oil Cooler Rear,1374,1374 - HYDRAULIC OIL COOLER,RE,,,6P41374 - HYDRAULIC OIL COOLERRE
90027504HYDSYS-HDMOT-FMCHF,6P4HYDSYS-HDMOT-FMCHF,900275046P4HYDSYS-HDMOT-FMCHF,90027504,6P4,HYDSYS-HDMOT-FMCHF,Repl Hyd Motor Fan Hyd Cool Front,1386,1386 - HYDRAULIC FAN MOTOR,FR,,,6P41386 - HYDRAULIC FAN MOTORFR
90027504HYDSYS-HDMOT-FMCHR,6P4HYDSYS-HDMOT-FMCHR,900275046P4HYDSYS-HDMOT-FMCHR,90027504,6P4,HYDSYS-HDMOT-FMCHR,Repl Hyd Motor Fan Hyd Cool Rear,1386,1386 - HYDRAULIC FAN MOTOR,RE,,,6P41386 - HYDRAULIC FAN MOTORRE
90027494HYDSYS-HYDPP-HECPL,6P4HYDSYS-HYDPP-HECPL,900274946P4HYDSYS-HYDPP-HECPL,90027494,6P4,HYDSYS-HYDPP-HECPL,Repl Hyd Pump Fan Engine Cool LH,1387,1387 - HYDRAULIC FAN PUMP,P01,,,6P41387 - HYDRAULIC FAN PUMPP01
90027494HYDSYS-HYDPP-HECPR,6P4HYDSYS-HYDPP-HECPR,900274946P4HYDSYS-HYDPP-HECPR,90027494,6P4,HYDSYS-HYDPP-HECPR,Repl Hyd Pump Fan Engine Cool RH,1387,1387 - HYDRAULIC FAN PUMP,P02,,,6P41387 - HYDRAULIC FAN PUMPP02
90027489HYDSYS-PPDRL,6P4HYDSYS-PPDRL,900274896P4HYDSYS-PPDRL,90027489,6P4,HYDSYS-PPDRL,Repl Pump Drive Gearbox LH,3108,3108 - PUMP DRIVE GRP,LT,,,6P43108 - PUMP DRIVE GRPLT
90027489HYDSYS-PPDRR,6P4HYDSYS-PPDRR,900274896P4HYDSYS-PPDRR,90027489,6P4,HYDSYS-PPDRR,Repl Pump Drive Gearbox RH,3108,3108 - PUMP DRIVE GRP,RI,,,6P43108 - PUMP DRIVE GRPRI
90027495HYDSYS-HYDPP-SRPPL,6P4HYDSYS-HYDPP-SRPPL,900274956P4HYDSYS-HYDPP-SRPPL,90027495,6P4,HYDSYS-HYDPP-SRPPL,Repl Hyd Pump Swing Replenish LH,3204,3204 - CHARGE PUMP,LT,,,6P43204 - CHARGE PUMPLT
90027495HYDSYS-HYDPP-SRPPR,6P4HYDSYS-HYDPP-SRPPR,900274956P4HYDSYS-HYDPP-SRPPR,90027495,6P4,HYDSYS-HYDPP-SRPPR,Repl Hyd Pump Swing Replenish RH,3204,3204 - CHARGE PUMP,RI,,,6P43204 - CHARGE PUMPRI
90027485TRAVEL-FDRLH,6P4TRAVEL-FDRLH,900274856P4TRAVEL-FDRLH,90027485,6P4,TRAVEL-FDRLH,Repl Final Drive LH,4050,4050 - FINAL DRIVE,LT,,,6P44050 - FINAL DRIVELT
90027485TRAVEL-FDRRH,6P4TRAVEL-FDRRH,900274856P4TRAVEL-FDRRH,90027485,6P4,TRAVEL-FDRRH,Repl Final Drive RH,4050,4050 - FINAL DRIVE,RI,,,6P44050 - FINAL DRIVERI
90027556STRUCT-TKFRL-CARLF,6P4STRUCT-TKFRL-CARLF,900275566P4STRUCT-TKFRL-CARLF,90027556,6P4,STRUCT-TKFRL-CARLF,Repl Roller Carrier LHF,4154,4154 - CARRIER ROLLER,LF,,,6P44154 - CARRIER ROLLERLF
90027556STRUCT-TKFRL-CARLR,6P4STRUCT-TKFRL-CARLR,900275566P4STRUCT-TKFRL-CARLR,90027556,6P4,STRUCT-TKFRL-CARLR,Repl Roller Carrier LHR,4154,4154 - CARRIER ROLLER,LR,,,6P44154 - CARRIER ROLLERLR
90027556STRUCT-TKFRR-CARRR,6P4STRUCT-TKFRR-CARRR,900275566P4STRUCT-TKFRR-CARRR,90027556,6P4,STRUCT-TKFRR-CARRR,Repl Roller Carrier RHR,4154,4154 - CARRIER ROLLER,RR,,,6P44154 - CARRIER ROLLERRR
90027556STRUCT-TKFRR-CARRF,6P4STRUCT-TKFRR-CARRF,900275566P4STRUCT-TKFRR-CARRF,90027556,6P4,STRUCT-TKFRR-CARRF,Repl Roller Carrier RHF,4154,4154 - CARRIER ROLLER,RF,,,6P44154 - CARRIER ROLLERRF
90027527STRUCT-TKFRL-TENSR,6P4STRUCT-TKFRL-TENSR,900275276P4STRUCT-TKFRL-TENSR,90027527,6P4,STRUCT-TKFRL-TENSR,Repl Track Tensioner LH,4157,4157 - TRACK ADJUSTER,LT,,,6P44157 - TRACK ADJUSTERLT
90027527STRUCT-TKFRR-TENSR,6P4STRUCT-TKFRR-TENSR,900275276P4STRUCT-TKFRR-TENSR,90027527,6P4,STRUCT-TKFRR-TENSR,Repl Track Tensioner RH,4157,4157 - TRACK ADJUSTER,RI,,,6P44157 - TRACK ADJUSTERRI
90027507STRUCT-TKFRL-IDLLH,6P4STRUCT-TKFRL-IDLLH,900275076P4STRUCT-TKFRL-IDLLH,90027507,6P4,STRUCT-TKFRL-IDLLH,Repl Track Idler LH,4159,4159 - IDLER/IDLER WHEEL,LT,,,6P44159 - IDLER/IDLER WHEELLT
90027507STRUCT-TKFRR-IDLRH,6P4STRUCT-TKFRR-IDLRH,900275076P4STRUCT-TKFRR-IDLRH,90027507,6P4,STRUCT-TKFRR-IDLRH,Repl Track Idler RH,4159,4159 - IDLER/IDLER WHEEL,RI,,,6P44159 - IDLER/IDLER WHEELRI
90027486TRAVEL-SPRKL,6P4TRAVEL-SPRKL,900274866P4TRAVEL-SPRKL,90027486,6P4,TRAVEL-SPRKL,Repl Sprocket LH,4164,4164 - SPROCKET ASSEMBLY,LT,,,6P44164 - SPROCKET ASSEMBLYLT
90027486TRAVEL-SPRKR,6P4TRAVEL-SPRKR,900274866P4TRAVEL-SPRKR,90027486,6P4,TRAVEL-SPRKR,Repl Sprocket RH,4164,4164 - SPROCKET ASSEMBLY,RI,,,6P44164 - SPROCKET ASSEMBLYRI
90027511TRAVEL-TRKLH,6P4TRAVEL-TRKLH,900275116P4TRAVEL-TRKLH,90027511,6P4,TRAVEL-TRKLH,Repl Track Assembly LH,4170,4170 - TRACK ASSEMBLY,L01,"Actually have L01-L03, will need to change L02 and L03 manually",,6P44170 - TRACK ASSEMBLYL01
90027511TRAVEL-TRKRH,6P4TRAVEL-TRKRH,900275116P4TRAVEL-TRKRH,90027511,6P4,TRAVEL-TRKRH,Repl Track Assembly RH,4170,4170 - TRACK ASSEMBLY,R01,"Actually have R01-R03, will need to change R02 and R03 manually",,6P44170 - TRACK ASSEMBLYR01
90027555STRUCT-TKFRL-LOLH1,6P4STRUCT-TKFRL-LOLH1,900275556P4STRUCT-TKFRL-LOLH1,90027555,6P4,STRUCT-TKFRL-LOLH1,Repl Roller Load LH Pos1,4180,4180 - TRACK ROLLER,L01,,,6P44180 - TRACK ROLLERL01
90027555STRUCT-TKFRL-LOLH2,6P4STRUCT-TKFRL-LOLH2,900275556P4STRUCT-TKFRL-LOLH2,90027555,6P4,STRUCT-TKFRL-LOLH2,Repl Roller Load LH Pos2,4180,4180 - TRACK ROLLER,L02,,,6P44180 - TRACK ROLLERL02
90027555STRUCT-TKFRL-LOLH3,6P4STRUCT-TKFRL-LOLH3,900275556P4STRUCT-TKFRL-LOLH3,90027555,6P4,STRUCT-TKFRL-LOLH3,Repl Roller Load LH Pos3,4180,4180 - TRACK ROLLER,L03,,,6P44180 - TRACK ROLLERL03
90027555STRUCT-TKFRL-LOLH4,6P4STRUCT-TKFRL-LOLH4,900275556P4STRUCT-TKFRL-LOLH4,90027555,6P4,STRUCT-TKFRL-LOLH4,Repl Roller Load LH Pos4,4180,4180 - TRACK ROLLER,L04,,,6P44180 - TRACK ROLLERL04
90027555STRUCT-TKFRL-LOLH5,6P4STRUCT-TKFRL-LOLH5,900275556P4STRUCT-TKFRL-LOLH5,90027555,6P4,STRUCT-TKFRL-LOLH5,Repl Roller Load LH Pos5,4180,4180 - TRACK ROLLER,L05,,,6P44180 - TRACK ROLLERL05
90027555STRUCT-TKFRL-LOLH6,6P4STRUCT-TKFRL-LOLH6,900275556P4STRUCT-TKFRL-LOLH6,90027555,6P4,STRUCT-TKFRL-LOLH6,Repl Roller Load LH Pos6,4180,4180 - TRACK ROLLER,L06,,,6P44180 - TRACK ROLLERL06
90027555STRUCT-TKFRL-LOLH7,6P4STRUCT-TKFRL-LOLH7,900275556P4STRUCT-TKFRL-LOLH7,90027555,6P4,STRUCT-TKFRL-LOLH7,Repl Roller Load LH Pos7,4180,4180 - TRACK ROLLER,L07,,,6P44180 - TRACK ROLLERL07
90027555STRUCT-TKFRR-LORH1,6P4STRUCT-TKFRR-LORH1,900275556P4STRUCT-TKFRR-LORH1,90027555,6P4,STRUCT-TKFRR-LORH1,Repl Roller Load RH Pos1,4180,4180 - TRACK ROLLER,R01,,,6P44180 - TRACK ROLLERR01
90027555STRUCT-TKFRR-LORH2,6P4STRUCT-TKFRR-LORH2,900275556P4STRUCT-TKFRR-LORH2,90027555,6P4,STRUCT-TKFRR-LORH2,Repl Roller Load RH Pos2,4180,4180 - TRACK ROLLER,R02,,,6P44180 - TRACK ROLLERR02
90027555STRUCT-TKFRR-LORH3,6P4STRUCT-TKFRR-LORH3,900275556P4STRUCT-TKFRR-LORH3,90027555,6P4,STRUCT-TKFRR-LORH3,Repl Roller Load RH Pos3,4180,4180 - TRACK ROLLER,R03,,,6P44180 - TRACK ROLLERR03
90027555STRUCT-TKFRR-LORH4,6P4STRUCT-TKFRR-LORH4,900275556P4STRUCT-TKFRR-LORH4,90027555,6P4,STRUCT-TKFRR-LORH4,Repl Roller Load RH Pos4,4180,4180 - TRACK ROLLER,R04,,,6P44180 - TRACK ROLLERR04
90027555STRUCT-TKFRR-LORH5,6P4STRUCT-TKFRR-LORH5,900275556P4STRUCT-TKFRR-LORH5,90027555,6P4,STRUCT-TKFRR-LORH5,Repl Roller Load RH Pos5,4180,4180 - TRACK ROLLER,R05,,,6P44180 - TRACK ROLLERR05
90027555STRUCT-TKFRR-LORH6,6P4STRUCT-TKFRR-LORH6,900275556P4STRUCT-TKFRR-LORH6,90027555,6P4,STRUCT-TKFRR-LORH6,Repl Roller Load RH Pos6,4180,4180 - TRACK ROLLER,R06,,,6P44180 - TRACK ROLLERR06
90027555STRUCT-TKFRR-LORH7,6P4STRUCT-TKFRR-LORH7,900275556P4STRUCT-TKFRR-LORH7,90027555,6P4,STRUCT-TKFRR-LORH7,Repl Roller Load RH Pos7,4180,4180 - TRACK ROLLER,R07,,,6P44180 - TRACK ROLLERR07
90027506HYDSYS-HDMOT-TRMLF,6P4HYDSYS-HDMOT-TRMLF,900275066P4HYDSYS-HDMOT-TRMLF,90027506,6P4,HYDSYS-HDMOT-TRMLF,Repl Hyd Motor Travel LHF,4351,4351 - HYD PROPEL/DRIVE MOTOR,LF,,,6P44351 - HYD PROPEL/DRIVE MOTORLF
90027506HYDSYS-HDMOT-TRMLR,6P4HYDSYS-HDMOT-TRMLR,900275066P4HYDSYS-HDMOT-TRMLR,90027506,6P4,HYDSYS-HDMOT-TRMLR,Repl Hyd Motor Travel LHR,4351,4351 - HYD PROPEL/DRIVE MOTOR,LR,,,6P44351 - HYD PROPEL/DRIVE MOTORLR
90027506HYDSYS-HDMOT-TRMRF,6P4HYDSYS-HDMOT-TRMRF,900275066P4HYDSYS-HDMOT-TRMRF,90027506,6P4,HYDSYS-HDMOT-TRMRF,Repl Hyd Motor Travel RHF,4351,4351 - HYD PROPEL/DRIVE MOTOR,RF,,,6P44351 - HYD PROPEL/DRIVE MOTORRF
90027506HYDSYS-HDMOT-TRMRR,6P4HYDSYS-HDMOT-TRMRR,900275066P4HYDSYS-HDMOT-TRMRR,90027506,6P4,HYDSYS-HDMOT-TRMRR,Repl Hyd Motor Travel RHR,4351,4351 - HYD PROPEL/DRIVE MOTOR,RR,,,6P44351 - HYD PROPEL/DRIVE MOTORRR
90027501HYDSYS-ROTRY,6P4HYDSYS-ROTRY,900275016P4HYDSYS-ROTRY,90027501,6P4,HYDSYS-ROTRY,Repl Rotary Joint,5060,5060 - SWIVEL,00,,,6P45060 - SWIVEL00
90027490HYDSYS-HYDPP-MNPP1,6P4HYDSYS-HYDPP-MNPP1,900274906P4HYDSYS-HYDPP-MNPP1,90027490,6P4,HYDSYS-HYDPP-MNPP1,Repl Main Hyd Pump Pos1,5084,5084 - IMPLEMENT PUMP,LF,,,6P45084 - IMPLEMENT PUMPLF
90027490HYDSYS-HYDPP-MNPP2,6P4HYDSYS-HYDPP-MNPP2,900274906P4HYDSYS-HYDPP-MNPP2,90027490,6P4,HYDSYS-HYDPP-MNPP2,Repl Main Hyd Pump Pos2,5084,5084 - IMPLEMENT PUMP,RF,,,6P45084 - IMPLEMENT PUMPRF
90027490HYDSYS-HYDPP-MNPP3,6P4HYDSYS-HYDPP-MNPP3,900274906P4HYDSYS-HYDPP-MNPP3,90027490,6P4,HYDSYS-HYDPP-MNPP3,Repl Main Hyd Pump Pos3,5084,5084 - IMPLEMENT PUMP,LR,,,6P45084 - IMPLEMENT PUMPLR
90027490HYDSYS-HYDPP-MNPP4,6P4HYDSYS-HYDPP-MNPP4,900274906P4HYDSYS-HYDPP-MNPP4,90027490,6P4,HYDSYS-HYDPP-MNPP4,Repl Main Hyd Pump Pos4,5084,5084 - IMPLEMENT PUMP,RR,,,6P45084 - IMPLEMENT PUMPRR
